id,type,state,created_at,updated_at,user_id,course_id,amount,tax_free_amount
71960,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 6:08,2022-12-29 6:08,1071298,213752,-10000,-10000
71959,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 6:05,2022-12-29 6:05,1071398,213706,-20000,-20000
71958,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 5:52,2022-12-29 5:52,1071332,205570,-10000,-10000
71956,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 5:51,2022-12-29 5:51,286128,214323,-20000,-20000
71955,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 5:49,2022-12-29 5:49,1071353,209673,-10000,-10000
71951,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 5:36,2022-12-29 5:36,119546,211606,-10000,-10000
71940,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 4:46,2022-12-29 4:46,924852,211368,-20000,-20000
71939,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 4:42,2022-12-29 4:42,1071267,212599,-10000,-10000
71938,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 4:38,2022-12-29 4:38,1060543,214322,0,0
71937,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 4:37,2022-12-29 4:37,503550,206331,-20000,-20000
71936,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 4:27,2022-12-29 4:27,1067949,211867,-30000,-30000
71935,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 2:56,2022-12-29 2:56,1071196,205625,-10000,-10000
71934,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 2:29,2022-12-29 2:29,1066953,203655,-30000,-30000
71933,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 1:35,2022-12-29 1:35,89154,211867,-20000,-20000
71932,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 1:27,2022-12-29 1:27,1068996,206331,-10000,-10000
71928,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 1:15,2022-12-29 1:15,1066268,214833,-20000,-20000
71927,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 1:13,2022-12-29 1:13,1071079,212598,-20000,-20000
71925,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 0:33,2022-12-29 0:33,998898,209842,-10000,-10000
71924,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 0:28,2022-12-29 0:28,97944,214496,-20000,-20000
71923,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 0:26,2022-12-29 0:26,274496,214323,-20000,-20000
71922,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 0:24,2022-12-29 0:24,1063810,211368,-10000,-10000
71921,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 0:22,2022-12-29 0:22,880623,212435,-20000,-20000
71920,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 0:20,2022-12-29 0:20,1070735,213262,-10000,-10000
71919,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 0:15,2022-12-29 0:15,1069010,213752,-10000,-10000
71918,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 0:10,2022-12-29 0:10,844567,212598,-20000,-20000
71917,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 9:09,2022-12-28 9:09,1059615,214323,-20000,-20000
71915,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 8:42,2022-12-28 8:42,1049117,213294,-10000,-10000
71912,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 8:39,2022-12-28 8:39,672588,214323,-20000,-20000
71901,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 8:04,2022-12-28 8:04,547724,214834,-10000,-10000
71900,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 8:04,2022-12-28 8:04,547724,214833,-20000,-20000
71896,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 8:02,2022-12-28 8:02,65210,214320,-10000,-10000
71888,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 7:36,2022-12-28 7:36,858339,213905,-10000,-10000
71887,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 7:19,2022-12-28 7:19,1060188,214323,-20000,-20000
71880,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 6:46,2022-12-28 6:46,1063659,214298,-10000,-10000
71875,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 6:13,2022-12-28 6:13,1067849,207766,-10000,-10000
71874,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 6:11,2022-12-28 6:11,1063111,213060,-30000,-30000
71872,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 6:07,2022-12-28 6:07,746702,NULL,-30000,0
71862,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 5:21,2022-12-28 5:21,1067931,211368,-10000,-10000
71861,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 5:17,2022-12-28 5:17,563658,212555,-10000,-10000
71860,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 5:15,2022-12-28 5:15,38365,210565,-30000,-30000
71859,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 5:15,2022-12-28 5:15,38365,211867,-30000,-30000
71858,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 4:56,2022-12-28 4:56,24873,210127,-40000,-40000
71857,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 4:40,2022-12-28 4:40,1040384,205949,-20000,-20000
71853,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 2:59,2022-12-28 2:59,1060251,211368,-10000,-10000
71852,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 2:39,2022-12-28 2:39,546508,210504,0,0
71851,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 2:30,2022-12-28 2:30,1051505,211368,-10000,-10000
71840,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 1:33,2022-12-28 1:33,1065207,205949,-10000,-10000
71839,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 1:32,2022-12-28 1:32,779191,209522,-30000,-30000
71838,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 1:19,2022-12-28 1:19,72558,213905,-10000,-10000
71836,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 1:08,2022-12-28 1:08,1042377,203525,-10000,-10000
71835,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 1:00,2022-12-28 1:00,24664,209541,-10000,-10000
71834,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:59,2022-12-28 0:59,1033608,213981,-10000,-10000
71833,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:58,2022-12-28 0:58,1063667,213752,-10000,-10000
71832,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:57,2022-12-28 0:57,1033065,207628,-10000,-10000
71831,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:57,2022-12-28 0:57,1065983,214323,-20000,-20000
71829,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:48,2022-12-28 0:48,669359,207343,-20000,-20000
71828,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:47,2022-12-28 0:47,1060143,NULL,-30000,0
71827,ADMIN_AUTO_REFUND,COMPLETED,2022-12-28 0:46,2022-12-28 0:46,1067215,212711,-10000,-10000
