id,type,state,created_at,updated_at,title,description,close_at,total_class_hours,keywords
213749,COURSE,ENDED,2022-10-23 8:00,2023-04-28 2:35,INNER CIRC-213749,INNER CIRC,2023-01-25 15:00,18,"김민태,마이크로프론트엔드,생산성,이너서클,이너써클,inner,innercircle,우아한,배달의민족,형제들,코드리뷰,멘토링,컨설팅,케이스스터디,mvp,프론트엔드심화,커뮤니티,프론트엔드, Frontend"
213728,COURSE,ONGOING,2022-10-20 5:45,2023-11-20 0:40,모델 구현으로 끝내-213728,딥러닝 분야에서 가,NULL,21,"GAN,모델구현,생성모델"
213723,COURSE,ONGOING,2022-10-19 10:49,2024-01-22 4:44,이더리움(EVM) -213723,80시간의 커리큘럼,NULL,124,"Solidity,ETHEREUM,Ethereum,이더리움,솔리디티,평생소장,프로그래밍,백엔드,프론트엔드,블체,스마트컨트랙트,토큰,evm,EVM,이더리움기반블록체인,람다,블록체인실습,솔리디티강의,이더리움강의,NFT,nft,거래소"
213722,COURSE,ONGOING,2022-10-19 9:47,2022-11-16 4:45,(B2G) K-Di-213722,NULL,NULL,NULL,NULL
213721,COURSE,ONGOING,2022-10-19 9:42,2022-11-16 4:44,(B2G) K-Di-213721,NULL,NULL,NULL,NULL
213717,COURSE,ENDED,2022-10-19 6:31,2022-11-16 4:40,(B2G)K-Dig-213717,NULL,2022-10-26 15:00,NULL,NULL
213715,COURSE,ONGOING,2022-10-19 6:28,2022-11-16 4:33,(B2G)K-Dig-213715,NULL,NULL,NULL,NULL
213712,COURSE,ONGOING,2022-10-19 6:12,2022-11-16 2:09,(B2G) K-Di-213712,NULL,NULL,19,NULL
213711,COURSE,ONGOING,2022-10-19 6:07,2022-11-16 7:23,(B2G) K-Di-213711,NULL,NULL,23,NULL
213706,COURSE,ONGOING,2022-10-19 4:43,2023-11-20 1:18,네오아카데미 : 프-213706,실력과 트렌드를 갖,NULL,13,"네오아카데미,프로피,캐릭터디자인,얼굴,미소녀,캐릭터,디자인,스킬"
213700,COURSE,ONGOING,2022-10-19 4:20,2022-11-16 2:34,(B2G) K-Di-213700,NULL,NULL,NULL,NULL
213693,COURSE,ONGOING,2022-10-18 9:33,2022-11-16 4:26,(B2B) K-Di-213693,,NULL,34,
213683,COURSE,ONGOING,2022-10-18 6:30,2023-11-20 0:40,6개월 치 업무를 -213683,필요한 코딩 기초 ,NULL,21,"업무자동화,파이썬자동화,매크로,크롤링,파이썬기초,업무생산성,카이스크공익,평생소장"
213658,COURSE,ONGOING,2022-10-14 2:13,2022-11-16 4:52,(B2G) K-Di-213658,NULL,NULL,75,NULL
213657,COURSE,ONGOING,2022-10-14 2:09,2022-11-16 5:08,(B2G) K-Di-213657,NULL,NULL,40,NULL
213653,COURSE,ONGOING,2022-10-14 1:00,2022-11-16 4:48,(B2G) K-Di-213653,NULL,NULL,61,NULL
